2024-10-30 06:08:50,257 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:08:54,156 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:08:58,068 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:09:02,528 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:09:06,932 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:09:11,280 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:15,704 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:16,005 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:16,306 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:16,607 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:16,922 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:17,232 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:17,538 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:17,845 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:18,158 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:18,468 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:18,786 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:19,103 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:19,409 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:19,718 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:20,033 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:20,343 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:20,645 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:20,967 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:21,294 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:21,604 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:21,914 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:22,221 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:22,531 INFO    MainThread:36387 [wandb_run.py:_config_callback():1390] config_cb None None {'input_dim': 1, 'encoding_dim': 16, 'lr': 0.001}
2024-10-30 06:19:22,788 WARNING MsgRouterThr:36387 [router.py:message_loop():77] message_loop has been closed
